Jogador,Grau Saída (Fez),Grau Entrada (Recebeu),Saldo,Total
Álvaro Borja Morata Martín,2,4,-2,6
Pablo Sarabia García,3,3,0,6
Rodrigo Hernández Cascante,3,3,0,6
Carlos Soler Barragán,3,1,2,4
Marco Asensio Willemsen,2,2,0,4
Jordi Alba Ramos,2,2,0,4
Sergio Busquets i Burgos,2,2,0,4
Ferrán Torres García,2,2,0,4
Anssumane Fati,1,2,-1,3
Daniel Olmo Carvajal,1,2,-1,3
Aymeric Laporte,1,1,0,2
Pedro González López,1,1,0,2
Marcos Llorente Moreno,1,1,0,2
Nicholas Williams Arthuer,1,0,1,1
Pablo Martín Páez Gavira,1,0,1,1
