,Romain Saïss,Noussair Mazraoui,Abdessamad Ezzalzouli,Yassine Bounou,Selim Amallah,Youssef En-Nesyri,Sofiane Boufal,Jawad El Yamiq,Achraf Hakimi Mouh,Azzedine Ounahi,Abdelhamid Sabiri,Sofyan Amrabat,Hakim Ziyech
Unai Simón Mendibil,0,0,0,0,0,0,0,0,1,0,0,1,0
Sergio Busquets i Burgos,2,0,0,1,0,0,0,0,0,0,0,0,0
Aymeric Laporte,0,0,0,0,0,0,0,2,0,0,0,0,0
Rodrigo Hernández Cascante,1,0,0,0,0,1,2,0,1,0,0,0,0
Alejandro Balde Martínez,0,0,0,0,0,0,0,0,2,0,0,0,0
Pedro González López,0,0,0,0,0,0,0,0,0,3,0,0,0
Carlos Soler Barragán,0,0,0,0,0,0,0,2,0,0,0,0,0
Ferrán Torres García,0,6,0,0,0,0,0,0,0,0,0,1,0
Jordi Alba Ramos,0,0,0,0,1,0,0,0,1,0,0,0,1
Pablo Martín Páez Gavira,0,0,0,0,1,0,0,0,0,1,0,0,0
Marcos Llorente Moreno,0,0,1,0,0,0,0,0,0,0,2,1,1
