,Alejandro Balde Martínez,Anssumane Fati,Aymeric Laporte,Carlos Soler Barragán,Daniel Olmo Carvajal,Ferrán Torres García,Jordi Alba Ramos,Marco Asensio Willemsen,Marcos Llorente Moreno,Nicholas Williams Arthuer,Pablo Martín Páez Gavira,Pablo Sarabia García,Pedro González López,Rodrigo Hernández Cascante,Sergio Busquets i Burgos,Álvaro Borja Morata Martín
Alejandro Balde Martínez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anssumane Fati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aymeric Laporte,0,0,0,0,2,1,3,0,0,1,0,0,0,0,0,0
Carlos Soler Barragán,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
Daniel Olmo Carvajal,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Ferrán Torres García,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Jordi Alba Ramos,0,0,0,0,1,1,0,3,0,0,1,0,1,0,0,0
Marco Asensio Willemsen,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Marcos Llorente Moreno,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Nicholas Williams Arthuer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pablo Martín Páez Gavira,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pablo Sarabia García,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Pedro González López,1,0,0,1,1,2,4,0,0,0,1,0,0,1,0,1
Rodrigo Hernández Cascante,0,2,0,0,2,1,0,0,0,2,0,1,0,0,0,1
Sergio Busquets i Burgos,2,0,0,0,0,1,0,0,3,0,0,1,0,1,0,0
Álvaro Borja Morata Martín,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0
